location,max(people_vaccinated),max(population),vaccinated
Gibraltar,42074,33691,124.88201596865632
Samoa,229291,200144,114.56301462946679
Tonga,108263,106759,101.4087805243586
Brunei,444293,441532,100.62532273991467
United Arab Emirates,9991089,9991083,100.00006005354976
Portugal,9729123,10167923,95.68446771282592
Cuba,10681161,11317498,94.37740567747394
Chile,18011019,19212362,93.74703120834388
Macao,614592,658391,93.34757006095163
Malta,477044,516100,92.43247432668088
Cayman Islands,61307,66498,92.19375018797558
Singapore,5020113,5453600,92.05136056916533
Qatar,2646568,2930524,90.31040182574857
Argentina,41171490,45605823,90.27682714990145
China,1295626000,1444216102,89.71136647803418
Hong Kong,6745523,7552800,89.31155333121491
Cambodia,15078410,16946446,88.9768273536528
Nicaragua,5956466,6702379,88.87092180254206
Taiwan,21197079,23855008,88.85798319581365
Bhutan,692909,779900,88.84587767662521
Peru,29526162,33359415,88.50923195145958
Spain,41264287,46745211,88.27489729375701
Vietnam,86510260,98168829,88.12396040702492
South Korea,45072380,51305184,87.85151223704801
Australia,22363600,25788217,86.7202257527149
Brazil,184888876,213993441,86.3993191267951
Costa Rica,4437629,5139053,86.3511039874467
Canada,32787133,38067913,86.12800234149952
Uruguay,2997829,3485152,86.01716653965164
Seychelles,84943,98910,85.87908199373167
Malaysia,28050302,32776195,85.5813251050038
Cook Islands,15033,17572,85.5508763942636
Faeroe Islands,41715,49053,85.04067029539478
Ecuador,15189092,17888474,84.90993697953219
Italy,50808266,60367471,84.16497355007633
Iceland,309770,368792,83.99585674309637
New Zealand,4293433,5126300,83.7530577609582
Aruba,89244,107195,83.25388311021969
Denmark,4828830,5813302,83.06518395225295
Colombia,42418509,51265841,82.74224741577925
Japan,103765739,126050796,82.32057415964276
Ireland,4091160,4982904,82.10392975662386
Turks and Caicos Islands,31989,39226,81.55050221791669
Isle of Man,69560,85410,81.44245404519377
Finland,4517683,5548361,81.42373937096018
Thailand,56753215,69950844,81.13299533598195
France,54477726,67422000,80.80111239654713
Panama,3485515,4381583,79.54921771423706
Belgium,9248973,11632334,79.51089609359566
Norway,4342262,5465629,79.44670229172159
Sri Lanka,17074744,21497306,79.42736638721149
Kuwait,3433696,4328553,79.3266479583362
Nepal,23433211,29674920,78.96638306017337
Laos,5817695,7379358,78.83741376959892
United Kingdom,53610838,68207114,78.60006802223005
Fiji,706618,902899,78.26102365823863
Bermuda,48554,62092,78.19686916188881
United States,260327743,332915074,78.19644207519423
Bangladesh,129851980,166303494,78.0813300290612
San Marino,26357,34010,77.49779476624522
Venezuela,22157232,28704947,77.18959383551554
Sweden,7838695,10160159,77.15130245501079
Germany,64712280,83900471,77.1298173046013
Mauritius,978297,1273428,76.82389581507553
Greece,7920496,10370747,76.37343770897121
Iran,64545209,85028760,75.90985567706738
Luxembourg,481357,634814,75.82646255438601
Saudi Arabia,26713922,35340680,75.58972266521188
Austria,6831552,9043072,75.5445936955937
Andorra,57886,77354,74.83258784290405
Cyprus,668493,896005,74.60817740972428
Falkland Islands,2632,3528,74.60317460317461
Netherlands,12801726,17173094,74.54525084414026
Maldives,398793,543620,73.35878003016813
Monaco,28875,39520,73.06427125506073
India,1017996645,1393409033,73.05799093380789
Indonesia,201223231,276361788,72.8115245078672
Lithuania,1952543,2689862,72.58896553057369
Greenland,41243,56868,72.52409087711894
Bonaire Sint Eustatius and Saba,19109,26445,72.25940631499338
Israel,6713116,9291000,72.2539662038532
Latvia,1346060,1866934,72.10003138836188
Saint Helena,4361,6095,71.55045118949958
Anguilla,10813,15125,71.4909090909091
El Salvador,4619142,6518500,70.86203881261027
Bahrain,1238703,1748295,70.85205872006726
Botswana,1696430,2397240,70.76596419215431
Liechtenstein,26744,38254,69.91164322685209
Switzerland,6088562,8715494,69.85905790308617
Rwanda,9112973,13276517,68.63978707668585
Mongolia,2272965,3329282,68.2719277009277
Philippines,75654809,111046910,68.12869354041459
Belarus,6425755,9442867,68.04877162836245
Turkey,57861997,85042736,68.03872937484043
Mexico,88336802,130262220,67.81459889137464
Morocco,24953895,37344787,66.82029007154333
French Polynesia,188352,282534,66.66525090785534
Hungary,6411997,9634162,66.55479739701285
Kiribati,80566,121388,66.37064619237486
Dominican Republic,7242699,10953714,66.12094308834429
Curacao,108299,164796,65.71700769436151
New Caledonia,188475,288217,65.39343619564426
Estonia,863245,1325188,65.1413233443104
Czechia,6966026,10724553,64.9539985489372
Antigua and Barbuda,64091,98728,64.91674094481809
British Virgin Islands,19389,30423,63.73138743713638
Cape Verde,355377,561901,63.24548274518109
Honduras,6312331,10062994,62.728160227463114
Oman,3266729,5223376,62.54056763288723
Belize,248880,404915,61.464751861501796
Timor,825977,1343875,61.46233838712678
Bolivia,7253264,11832936,61.29724693854509
Guyana,484014,790329,61.24209031934802
Pakistan,137652762,225199929,61.12469156240275
Slovenia,1265802,2078723,60.893250327244175
Tunisia,7234385,11935764,60.61099230849404
Myanmar,33004742,54806014,60.221022459323535
Poland,22738891,37797000,60.16057094478398
Wallis and Futuna,6483,11094,58.43699296917253
Saint Kitts and Nevis,31162,53546,58.19669069585029
Uzbekistan,19699111,33935765,58.04823023733221
Croatia,2315792,4081657,56.736565566386396
Barbados,162705,287708,56.55212924214828
Russia,81820458,145912022,56.07519988997205
Sao Tome and Principe,124684,223364,55.82099174441718
Vanuatu,172232,314464,54.77002136969573
Paraguay,3933578,7219641,54.48439887800516
Trinidad and Tobago,751591,1403374,53.55600146504068
Tajikistan,5220731,9749625,53.54801851353257
Azerbaijan,5356989,10223344,52.399576889909994
Slovakia,2822420,5449270,51.794460542421284
Kazakhstan,9532092,18994958,50.18222204018561
Serbia,3354075,6871547,48.81106103181715
Egypt,50399016,104258327,48.34051864269796
Liberia,2458813,5180208,47.46552648078996
Jordan,4805507,10269022,46.796150597398665
Mozambique,14978771,32163045,46.57137096316596
Montenegro,291651,628051,46.437470842336054
Albania,1326545,2872934,46.173876601411656
Guatemala,8317459,18249868,45.57544744981169
Dominica,32872,72172,45.54674943191265
Suriname,267820,591798,45.255306709383945
Romania,8175541,19127772,42.74173176049986
Lesotho,916484,2159067,42.44815005740906
Zimbabwe,6331851,15092171,41.954540536282025
Bahamas,166471,396914,41.94132734043143
Montserrat,2044,4981,41.035936558923915
North Macedonia,853927,2082661,41.00172807768523
Georgia,1631237,3979773,40.98819204009877
Mauritania,1927038,4775110,40.35588708951207
Solomon Islands,283298,703995,40.2414789877769
Lebanon,2698736,6769151,39.86816071912121
Angola,13153694,33933611,38.76302466012238
Grenada,43806,113015,38.761226385877976
Palestine,2008544,5222756,38.457549998506536
Comoros,341302,888456,38.41518319421559
Armenia,1129669,2968128,38.059982588351986
Ethiopia,44365594,117876226,37.637440139965115
South Africa,22068908,60041996,36.75578673300601
Ukraine,15774300,43466822,36.290437796441616
Uganda,16226827,47123533,34.4346570958506
Guinea,4550563,13497237,33.71477436456069
Eswatini,387468,1172369,33.050003881030634
Saint Vincent and the Grenadines,36742,111269,33.020877333309365
Ghana,10443364,31732128,32.91101056947709
Libya,2269135,6958538,32.609364208401246
Saint Lucia,59661,184401,32.35394601981551
Sierra Leone,2621469,8141343,32.1994663534014
Bulgaria,2092116,6896655,30.335227729964743
Cote d'Ivoire,8026397,27053629,29.668467028952012
Bosnia and Herzegovina,943394,3263459,28.90779384695809
Jamaica,815620,2973462,27.429978926920874
Moldova,1083286,4024025,26.920458993172257
Iraq,10833447,41179351,26.30795954020742
Guinea-Bissau,529783,2015490,26.28556827372004
Benin,3174135,12451031,25.49294913810752
Togo,2092750,8478242,24.68377288593555
Kyrgyzstan,1573005,6628347,23.73148237411228
Kenya,12641679,54985702,22.990847693460385
Central African Republic,1124848,4919987,22.862824637544772
Djibouti,201787,1002197,20.13446458131485
Namibia,496475,2587344,19.188596491228072
Equatorial Guinea,267610,1449891,18.457249544965794
Algeria,8210605,44616626,18.40256813681967
Gambia,449464,2486937,18.072995013544773
Zambia,3240892,18920657,17.12885551490099
Somalia,2645189,16359500,16.16913108591338
Syria,2748571,18275704,15.039480832037988
Sudan,6651268,44909351,14.810430014898234
Afghanistan,5713284,39835428,14.342218188292092
Gabon,308857,2278829,13.553320587020789
Nigeria,28340766,211400704,13.406183358783895
Senegal,2300648,17196308,13.378732225545159
Niger,3330202,25130810,13.251471003123259
Chad,2218493,16914985,13.115548136755665
Tanzania,7588592,61498438,12.339487386655252
Congo,693902,5657017,12.266217336804893
Burkina Faso,2449809,21497097,11.395999190030171
Malawi,2047317,19647681,10.42014576682103
South Sudan,1164135,11381377,10.228419636745183
Mali,1781525,20855724,8.542139318682967
Cameroon,1559801,27224262,5.729451913150116
Madagascar,1290584,28427333,4.539940486151128
Papua New Guinea,337243,9119005,3.6982433938790473
Democratic Republic of Congo,2979005,92377986,3.2247996833358115
Yemen,697956,30490639,2.2890828886859342
Haiti,241385,11541683,2.0914194229732357
Burundi,15287,12255429,0.12473655552979826
Eritrea,"",3601462,""
Palau,"",18174,""
Marshall Islands,"",59618,""
Saint Pierre and Miquelon,"",5771,""
North Korea,"",25887045,""
Micronesia (country),"",116255,""
Vatican,"",812,""
